               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10452,             0.48789,             0.02676,             0.18771,             0.22366,             0.16894,            0.039374,            0.086976,             0.49603,           0.0090282,            0.070652,           0.0032609,           0.0032609
                   1,             0.07753,              0.4621,           0.0060819,             0.21316,             0.30112,             0.26125,             0.12471,            0.068648,             0.36819,           0.0035588,             0.04062,           0.0065616,           0.0065616
                   2,            0.071187,             0.46156,           0.0035352,              0.2674,             0.30821,             0.30859,             0.16927,            0.058642,             0.33804,           0.0033986,            0.010554,           0.0098293,           0.0098293
                   3,            0.069662,             0.44484,           0.0031681,             0.20316,             0.30682,             0.23847,             0.14201,             0.05238,             0.30319,           0.0035634,           0.0098515,           0.0098515,           0.0098515
                   4,            0.067076,             0.42999,           0.0030303,             0.27449,             0.31893,             0.32023,             0.19364,            0.045143,             0.28232,           0.0034736,           0.0098515,           0.0098515,           0.0098515
                   5,            0.066433,             0.42866,           0.0030848,             0.33077,             0.32378,             0.33092,              0.2221,            0.043827,              0.3092,            0.003501,            0.009802,            0.009802,            0.009802
                   6,            0.061444,             0.39979,           0.0028422,             0.30875,             0.31826,             0.32854,             0.22256,            0.045588,             0.27979,           0.0033789,           0.0097525,           0.0097525,           0.0097525
                   7,            0.062231,             0.40651,            0.002791,             0.29696,             0.32111,             0.32495,             0.21053,            0.045268,             0.28093,           0.0034438,            0.009703,            0.009703,            0.009703
                   8,            0.057627,             0.39156,           0.0026756,             0.99612,             0.33191,             0.33122,             0.22455,            0.039871,             0.28368,           0.0034358,           0.0096535,           0.0096535,           0.0096535
                   9,            0.054712,             0.38014,           0.0025976,             0.65442,             0.33065,             0.33082,             0.23437,            0.039826,             0.27093,           0.0031583,            0.009604,            0.009604,            0.009604
                  10,            0.053647,             0.38925,           0.0024299,             0.32618,             0.33244,             0.33103,             0.23941,            0.042394,             0.26446,           0.0030747,           0.0095545,           0.0095545,           0.0095545
                  11,            0.055383,             0.37944,           0.0023998,             0.31374,             0.32262,             0.33041,             0.23757,            0.040826,             0.26247,           0.0030418,            0.009505,            0.009505,            0.009505
                  12,            0.052843,             0.38152,           0.0023385,             0.99537,             0.33262,             0.33107,             0.24796,            0.037517,             0.26349,           0.0030616,           0.0094555,           0.0094555,           0.0094555
                  13,            0.053077,              0.3773,           0.0023861,             0.99756,             0.33283,             0.33124,             0.24382,            0.036395,             0.25742,           0.0030779,            0.009406,            0.009406,            0.009406
                  14,            0.052231,             0.36721,           0.0023108,             0.99733,             0.33283,             0.33126,              0.2463,            0.035499,             0.26432,           0.0029683,           0.0093565,           0.0093565,           0.0093565
                  15,            0.051373,             0.36488,           0.0023222,              0.9973,             0.33199,             0.33104,             0.23605,            0.039322,             0.26147,           0.0030275,            0.009307,            0.009307,            0.009307
                  16,            0.051688,             0.36268,           0.0023651,             0.99745,             0.33287,             0.33151,             0.25429,            0.037445,             0.25696,           0.0030825,           0.0092575,           0.0092575,           0.0092575
                  17,              0.0502,             0.36493,            0.002314,             0.99728,             0.33283,             0.33167,             0.24729,            0.038278,             0.26864,           0.0028582,            0.009208,            0.009208,            0.009208
                  18,            0.050813,             0.35974,           0.0021716,             0.99726,             0.33283,             0.33201,             0.25336,            0.034467,             0.25398,           0.0028896,           0.0091585,           0.0091585,           0.0091585
                  19,            0.048921,             0.35654,           0.0021499,             0.99739,             0.33283,             0.33175,             0.25918,            0.033995,             0.24595,           0.0027308,            0.009109,            0.009109,            0.009109
                  20,               0.049,             0.34865,           0.0021175,             0.99722,             0.33283,             0.33111,              0.2444,            0.036054,             0.25215,           0.0028124,           0.0090595,           0.0090595,           0.0090595
                  21,            0.049672,             0.35682,           0.0021813,             0.99723,             0.33283,             0.33219,             0.24312,            0.037249,             0.26464,            0.002824,             0.00901,             0.00901,             0.00901
                  22,            0.049054,              0.3463,           0.0021497,             0.99772,             0.33283,             0.33165,             0.25426,            0.034597,             0.24957,           0.0027919,           0.0089605,           0.0089605,           0.0089605
                  23,            0.046978,             0.34034,           0.0021064,              0.9974,             0.33266,             0.33216,             0.23503,            0.037735,             0.27157,           0.0027286,            0.008911,            0.008911,            0.008911
                  24,            0.046852,             0.34069,           0.0020689,             0.99672,             0.33278,             0.33216,             0.25618,            0.035368,             0.24755,           0.0027678,           0.0088615,           0.0088615,           0.0088615
