                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5896,                 1.2661,                 1.2944,                0.65539,                0.33296,                0.33056,                0.22704,                 1.1813,                0.95083,                 1.0201,             0.00046699,             0.00046699,             0.00046699
                      2,                0.96739,                 0.5379,                0.96302,                0.95241,                0.33318,                0.45352,                0.32608,                0.82172,                0.55448,                0.93245,             0.00093866,             0.00093866,             0.00093866
                      3,                0.93121,                0.51218,                0.94182,                0.88498,                0.54159,                0.57924,                0.39647,                0.81746,                0.52003,                0.92231,              0.0014056,              0.0014056,              0.0014056
                      4,                 0.8809,                0.47598,                0.91777,                0.88277,                0.58232,                0.62038,                0.45024,                0.74136,                0.43375,                0.88881,              0.0014078,              0.0014078,              0.0014078
                      5,                0.84385,                0.44983,                0.90281,                0.91272,                0.60409,                0.65119,                0.46574,                0.74548,                0.39531,                0.90941,              0.0014078,              0.0014078,              0.0014078
                      6,                0.82921,                0.43753,                0.89611,                0.99628,                  0.601,                 0.7138,                0.47264,                 0.8778,                0.43815,                0.90663,              0.0014007,              0.0014007,              0.0014007
                      7,                0.81018,                0.42389,                0.89073,                   0.99,                0.62493,                 0.7526,                0.52935,                0.74119,                0.37811,                0.91626,              0.0013936,              0.0013936,              0.0013936
                      8,                0.79139,                0.40795,                0.88694,                0.68124,                0.67433,                0.71317,                0.52575,                0.71682,                0.37852,                0.89711,              0.0013866,              0.0013866,              0.0013866
                      9,                 0.7803,                0.40131,                0.88365,                0.80565,                0.71243,                 0.7696,                0.57285,                0.68078,                0.35684,                0.87398,              0.0013795,              0.0013795,              0.0013795
                     10,                0.75418,                0.38596,                 0.8788,                0.86149,                0.82231,                0.83128,                0.60623,                0.76509,                0.37118,                0.89085,              0.0013724,              0.0013724,              0.0013724
                     11,                0.73748,                0.38292,                0.87437,                0.85677,                 0.8902,                0.85509,                0.60534,                0.69054,                 0.3674,                0.87504,              0.0013653,              0.0013653,              0.0013653
                     12,                0.74764,                0.38173,                0.87397,                0.90606,                0.82345,                0.86177,                0.60496,                 0.7042,                0.37362,                0.87274,              0.0013583,              0.0013583,              0.0013583
                     13,                0.75543,                0.38124,                0.87347,                0.99693,                0.74844,                0.83154,                0.57975,                0.65331,                0.35081,                0.86416,              0.0013512,              0.0013512,              0.0013512
                     14,                 0.7305,                0.37294,                0.86745,                0.86722,                0.84062,                0.91093,                0.62188,                0.72502,                0.36074,                 0.8791,              0.0013441,              0.0013441,              0.0013441
                     15,                 0.7359,                0.37287,                0.87046,                0.90607,                0.86025,                0.90003,                0.62669,                0.66048,                0.33357,                0.86499,               0.001337,               0.001337,               0.001337
                     16,                0.71571,                0.36855,                0.87012,                0.91011,                0.91243,                0.91986,                0.65929,                0.68581,                0.34009,                0.86428,                0.00133,                0.00133,                0.00133
                     17,                0.72697,                0.36965,                0.86825,                0.90573,                0.88834,                0.92931,                0.62233,                 0.6744,                0.34037,                0.86383,              0.0013229,              0.0013229,              0.0013229
                     18,                0.71168,                0.35538,                0.86537,                0.93044,                0.84459,                0.93683,                0.65023,                0.66157,                0.32884,                0.86886,              0.0013158,              0.0013158,              0.0013158
                     19,                0.70471,                0.35712,                0.86486,                0.95955,                 0.8902,                0.93553,                0.62057,                0.65919,                0.33602,                0.86057,              0.0013087,              0.0013087,              0.0013087
                     20,                0.69601,                0.34959,                 0.8592,                0.85184,                0.87574,                0.89497,                0.63076,                 0.6479,                0.31884,                 0.8545,              0.0013017,              0.0013017,              0.0013017
                     21,                0.68538,                0.34346,                0.85846,                0.92431,                0.76858,                0.89224,                0.61243,                0.66799,                0.31941,                0.86049,              0.0012946,              0.0012946,              0.0012946
                     22,                 0.6843,                0.34347,                0.85995,                0.82763,                0.91104,                0.90901,                0.63991,                0.64216,                 0.3173,                0.85696,              0.0012875,              0.0012875,              0.0012875
                     23,                0.66866,                0.34279,                0.85922,                0.78136,                0.87507,                0.87395,                0.61364,                0.69122,                0.33775,                0.87237,              0.0012805,              0.0012805,              0.0012805
