                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    1.6,                 1.4172,                 1.3671,                0.32351,                0.33318,                 0.3309,                0.24852,                0.92111,                 0.9391,                 0.9486,             0.00023333,             0.00023333,             0.00023333
                      2,                0.89518,                0.45987,                0.99797,                0.31283,                0.33304,                0.32791,                0.25093,                0.84494,                0.50674,                0.93538,               0.000469,               0.000469,               0.000469
                      3,                0.87385,                0.44128,                0.98704,                0.92796,                0.62215,                0.64047,                0.46432,                  0.781,                0.39575,                0.93305,             0.00070231,             0.00070231,             0.00070231
                      4,                0.82226,                0.42268,                0.95202,                0.96256,                0.62222,                0.64851,                0.45254,                0.79794,                0.38532,                0.91255,              0.0007034,              0.0007034,              0.0007034
                      5,                0.82219,                0.40925,                0.93027,                0.97496,                0.64276,                0.70459,                0.48861,                0.90372,                0.40814,                0.92386,              0.0007034,              0.0007034,              0.0007034
                      6,                0.77509,                0.38559,                0.92579,                0.96231,                0.71024,                0.74157,                0.54389,                0.67572,                0.32678,                 0.8799,             0.00069986,             0.00069986,             0.00069986
                      7,                0.80676,                0.38485,                0.92848,                0.83168,                0.83571,                0.83068,                0.57236,                0.73077,                0.32658,                0.88209,             0.00069633,             0.00069633,             0.00069633
                      8,                0.75901,                 0.3642,                0.91319,                0.87865,                0.77635,                0.85135,                0.61484,                 0.6859,                0.30769,                0.87698,             0.00069279,             0.00069279,             0.00069279
                      9,                0.74748,                0.35229,                0.91329,                0.92208,                0.83869,                0.89411,                0.64433,                0.74119,                0.30819,                0.89328,             0.00068926,             0.00068926,             0.00068926
                     10,                 0.7024,                0.33572,                 0.9023,                 0.9836,                0.86644,                  0.911,                0.66064,                0.64894,                0.29626,                0.86037,             0.00068573,             0.00068573,             0.00068573
                     11,                0.73079,                0.34171,                0.90307,                 0.9197,                0.83698,                0.90753,                 0.6713,                 0.6785,                0.30259,                0.86623,             0.00068219,             0.00068219,             0.00068219
                     12,                0.72549,                0.33725,                0.90151,                0.93483,                0.90653,                0.92988,                0.68102,                0.65312,                0.28401,                0.86781,             0.00067866,             0.00067866,             0.00067866
                     13,                0.69057,                0.32629,                0.89592,                0.94693,                0.93311,                0.95354,                0.70994,                0.69637,                0.29753,                0.86758,             0.00067512,             0.00067512,             0.00067512
                     14,                0.68235,                0.32031,                0.90231,                0.96943,                0.83782,                0.90925,                0.66523,                0.69415,                0.29466,                0.87606,             0.00067159,             0.00067159,             0.00067159
                     15,                0.65587,                0.31121,                0.88171,                0.99418,                0.91022,                0.93634,                0.69891,                0.66072,                0.28216,                0.86797,             0.00066805,             0.00066805,             0.00066805
                     16,                0.67699,                0.31752,                 0.8845,                0.97614,                0.90738,                0.96811,                0.72336,                0.63908,                0.27752,                0.86054,             0.00066452,             0.00066452,             0.00066452
                     17,                0.65652,                0.31277,                0.89052,                 0.9913,                0.95089,                0.98223,                0.72081,                 0.6809,                0.28676,                0.87241,             0.00066099,             0.00066099,             0.00066099
                     18,                0.64768,                0.30839,                0.88168,                0.72668,                0.91096,                0.77751,                 0.6076,                0.59968,                 0.2852,                0.84793,             0.00065745,             0.00065745,             0.00065745
                     19,                0.68624,                0.31801,                0.88947,                0.91631,                0.91111,                0.95983,                0.70391,                0.65949,                0.28676,                0.85761,             0.00065392,             0.00065392,             0.00065392
                     20,                0.65472,                0.30348,                 0.8818,                0.78674,                0.93311,                 0.8274,                0.62833,                0.62384,                0.27791,                0.85719,             0.00065038,             0.00065038,             0.00065038
                     21,                0.65463,                0.30665,                 0.8896,                0.77522,                0.90202,                0.83671,                0.63359,                0.65563,                0.28724,                 0.8522,             0.00064685,             0.00064685,             0.00064685
                     22,                0.64725,                 0.2978,                0.88165,                0.97814,                0.99963,                0.99459,                0.76148,                0.64077,                0.26608,                0.86249,             0.00064331,             0.00064331,             0.00064331
                     23,                0.63155,                0.30063,                0.88169,                 0.9508,                0.97756,                0.97741,                0.72649,                0.65299,                 0.2721,                0.85172,             0.00063978,             0.00063978,             0.00063978
                     24,                0.62178,                0.29008,                0.87245,                0.96542,                0.94473,                0.96155,                0.73799,                0.63781,                0.26027,                 0.8627,             0.00063625,             0.00063625,             0.00063625
                     25,                0.60713,                 0.2887,                0.86998,                0.84972,                0.97468,                0.94075,                0.70882,                0.61517,                 0.2597,                0.85082,             0.00063271,             0.00063271,             0.00063271
                     26,                0.63366,                0.29868,                0.86296,                0.91032,                0.93231,                0.93577,                0.69004,                0.66348,                0.27813,                0.86805,             0.00062918,             0.00062918,             0.00062918
                     27,                0.60262,                0.29031,                0.85876,                0.96267,                0.93304,                0.97226,                0.73143,                0.64679,                0.26381,                0.86039,             0.00062564,             0.00062564,             0.00062564
                     28,                 0.5838,                 0.2812,                0.85978,                0.97281,                0.95427,                0.97531,                0.74325,                0.57805,                0.25043,                0.84265,             0.00062211,             0.00062211,             0.00062211
                     29,                0.60279,                0.28448,                0.87013,                 0.8425,                0.92814,                0.85118,                0.66797,                0.60286,                0.25903,                0.84945,             0.00061857,             0.00061857,             0.00061857
